epoch,step,stage,loss,ACC,AUC,MCC,Q-value,F1,F0.5,F2,SE,SP,PPV,NPV,TP,FP,TN,FN
23,9840,valid,0.4709,0.821,0.701,0.287,0.591,0.319,0.449,0.247,0.215,0.968,0.617,0.835,29,18,538,106
23,9840,train,0.3893,0.841,0.814,0.457,0.675,0.509,0.627,0.428,0.387,0.964,0.743,0.853,1081,374,9950,1715
24,10250,valid,0.4778,0.815,0.711,0.269,0.59,0.319,0.432,0.253,0.222,0.959,0.566,0.835,30,23,533,105
24,10250,train,0.3753,0.847,0.821,0.461,0.674,0.506,0.629,0.423,0.382,0.967,0.75,0.859,1025,342,10092,1661
25,10660,valid,0.4867,0.816,0.691,0.299,0.611,0.368,0.464,0.305,0.274,0.948,0.561,0.843,37,29,527,98
25,10660,train,0.3675,0.852,0.828,0.482,0.686,0.528,0.647,0.446,0.404,0.967,0.761,0.863,1085,341,10096,1598
26,11070,valid,0.4891,0.805,0.694,0.233,0.581,0.301,0.395,0.242,0.215,0.948,0.5,0.833,29,29,527,106
26,11070,train,0.3639,0.852,0.835,0.476,0.681,0.519,0.642,0.436,0.394,0.969,0.763,0.862,1052,327,10120,1621
27,11480,valid,0.4982,0.818,0.691,0.321,0.626,0.4,0.483,0.341,0.311,0.941,0.56,0.849,42,33,523,93
27,11480,train,0.3528,0.858,0.834,0.487,0.69,0.534,0.646,0.455,0.414,0.967,0.751,0.871,1064,353,10197,1506
28,11890,valid,0.494,0.818,0.694,0.294,0.603,0.351,0.458,0.284,0.252,0.955,0.576,0.84,34,25,531,101
28,11890,train,0.351,0.859,0.839,0.494,0.695,0.542,0.653,0.464,0.423,0.966,0.756,0.871,1100,355,10164,1501
29,12300,valid,0.4802,0.816,0.702,0.271,0.589,0.314,0.433,0.246,0.215,0.962,0.58,0.835,29,21,535,106
29,12300,train,0.3475,0.861,0.845,0.512,0.7,0.555,0.673,0.473,0.43,0.97,0.783,0.871,1137,315,10162,1506
30,12710,valid,0.5117,0.825,0.7,0.355,0.642,0.432,0.515,0.372,0.341,0.942,0.59,0.855,46,32,524,89
30,12710,train,0.3474,0.86,0.852,0.524,0.709,0.573,0.684,0.493,0.451,0.968,0.786,0.87,1231,335,10054,1500
31,13120,valid,0.4976,0.816,0.689,0.303,0.614,0.374,0.467,0.312,0.281,0.946,0.559,0.844,38,30,526,97
31,13120,train,0.3418,0.861,0.854,0.519,0.707,0.568,0.678,0.488,0.446,0.967,0.779,0.872,1197,340,10099,1484
32,13530,valid,0.5129,0.816,0.697,0.292,0.605,0.355,0.457,0.291,0.259,0.951,0.565,0.841,35,27,529,100
32,13530,train,0.3386,0.863,0.858,0.529,0.713,0.579,0.686,0.501,0.46,0.967,0.782,0.874,1237,345,10083,1455
33,13940,valid,0.559,0.819,0.681,0.318,0.621,0.39,0.482,0.328,0.296,0.946,0.571,0.847,40,30,526,95
33,13940,train,0.3299,0.867,0.864,0.535,0.716,0.583,0.69,0.505,0.463,0.968,0.787,0.878,1221,331,10152,1416
34,14350,valid,0.5281,0.813,0.695,0.283,0.604,0.352,0.448,0.29,0.259,0.948,0.547,0.841,35,29,527,100
34,14350,train,0.3259,0.87,0.867,0.549,0.723,0.596,0.702,0.518,0.477,0.969,0.797,0.88,1262,322,10150,1386
35,14760,valid,0.5559,0.816,0.687,0.299,0.611,0.368,0.464,0.305,0.274,0.948,0.561,0.843,37,29,527,98
35,14760,train,0.3218,0.875,0.876,0.577,0.739,0.625,0.725,0.55,0.509,0.969,0.811,0.884,1370,320,10109,1321
36,15170,valid,0.5528,0.813,0.693,0.309,0.623,0.394,0.47,0.34,0.311,0.935,0.538,0.848,42,36,520,93
36,15170,train,0.3174,0.872,0.876,0.567,0.735,0.618,0.716,0.544,0.503,0.968,0.8,0.883,1353,338,10094,1335
37,15580,valid,0.5563,0.815,0.684,0.288,0.604,0.354,0.452,0.29,0.259,0.95,0.556,0.841,35,28,528,100
37,15580,train,0.3118,0.873,0.881,0.561,0.733,0.612,0.709,0.538,0.498,0.967,0.792,0.884,1315,345,10136,1324
38,15990,valid,0.5574,0.81,0.686,0.293,0.616,0.379,0.456,0.325,0.296,0.935,0.526,0.846,40,36,520,95
38,15990,train,0.3012,0.88,0.89,0.588,0.745,0.635,0.733,0.56,0.519,0.971,0.818,0.889,1376,307,10164,1273
39,16400,valid,0.5797,0.812,0.692,0.301,0.619,0.387,0.463,0.332,0.304,0.935,0.532,0.847,41,36,520,94
39,16400,train,0.3027,0.878,0.89,0.589,0.744,0.636,0.737,0.559,0.517,0.972,0.825,0.886,1396,297,10125,1302
40,16810,valid,0.6024,0.806,0.679,0.27,0.605,0.356,0.433,0.302,0.274,0.935,0.507,0.841,37,36,520,98
40,16810,train,0.3033,0.878,0.891,0.587,0.744,0.634,0.734,0.558,0.517,0.971,0.82,0.886,1391,306,10125,1298
41,17220,valid,0.5838,0.809,0.682,0.286,0.612,0.371,0.448,0.317,0.289,0.935,0.52,0.844,39,36,520,96
