epoch,step,stage,loss,ACC,AUC,MCC,Q-value,F1,F0.5,F2,SE,SP,PPV,NPV,TP,FP,TN,FN
23,10656,train,0.3801,0.848,0.802,0.437,0.661,0.477,0.603,0.394,0.353,0.969,0.733,0.86,986,359,11057,1806
24,11100,valid,0.4557,0.822,0.711,0.375,0.653,0.457,0.537,0.398,0.366,0.939,0.609,0.852,56,36,559,97
24,11100,train,0.3689,0.852,0.811,0.45,0.668,0.49,0.614,0.408,0.367,0.969,0.739,0.864,1008,356,11103,1741
25,11544,valid,0.4781,0.833,0.685,0.395,0.642,0.439,0.566,0.359,0.32,0.965,0.7,0.847,49,21,574,104
25,11544,train,0.3654,0.852,0.829,0.471,0.677,0.511,0.639,0.426,0.384,0.97,0.766,0.862,1098,336,11011,1763
26,11988,valid,0.4712,0.814,0.688,0.32,0.619,0.388,0.49,0.321,0.288,0.95,0.595,0.838,44,30,565,109
26,11988,train,0.3651,0.853,0.827,0.472,0.676,0.51,0.639,0.424,0.381,0.971,0.769,0.862,1085,326,11037,1760
27,12432,valid,0.4641,0.822,0.689,0.349,0.626,0.404,0.52,0.33,0.294,0.958,0.643,0.841,45,25,570,108
27,12432,train,0.3621,0.852,0.836,0.482,0.684,0.525,0.65,0.441,0.398,0.969,0.771,0.862,1164,345,10941,1758
28,12876,valid,0.4905,0.807,0.686,0.309,0.622,0.395,0.477,0.337,0.307,0.936,0.553,0.84,47,38,557,106
28,12876,train,0.347,0.861,0.839,0.496,0.693,0.54,0.655,0.459,0.418,0.969,0.763,0.873,1155,359,11084,1610
29,13320,valid,0.4849,0.828,0.683,0.378,0.642,0.437,0.547,0.363,0.327,0.956,0.658,0.847,50,26,569,103
29,13320,train,0.3448,0.863,0.846,0.511,0.697,0.551,0.674,0.466,0.422,0.972,0.792,0.871,1195,314,11063,1636
30,13764,valid,0.5135,0.817,0.676,0.35,0.64,0.432,0.515,0.371,0.34,0.939,0.591,0.847,52,36,559,101
30,13764,train,0.3459,0.86,0.848,0.507,0.695,0.547,0.671,0.461,0.418,0.972,0.792,0.868,1200,316,11020,1672
31,14208,valid,0.4945,0.821,0.687,0.357,0.637,0.427,0.524,0.361,0.327,0.948,0.617,0.846,50,31,564,103
31,14208,train,0.3434,0.862,0.85,0.514,0.7,0.557,0.676,0.473,0.43,0.971,0.788,0.871,1234,331,11008,1635
32,14652,valid,0.5174,0.821,0.678,0.345,0.625,0.402,0.515,0.329,0.294,0.956,0.634,0.84,45,26,569,108
32,14652,train,0.3344,0.866,0.857,0.533,0.711,0.576,0.691,0.494,0.451,0.971,0.797,0.875,1295,330,11009,1574
33,15096,valid,0.5214,0.82,0.682,0.36,0.644,0.44,0.525,0.379,0.346,0.941,0.602,0.848,53,35,560,100
33,15096,train,0.33,0.871,0.857,0.542,0.715,0.583,0.698,0.5,0.457,0.973,0.804,0.88,1280,313,11095,1520
34,15540,valid,0.5267,0.82,0.686,0.373,0.656,0.462,0.532,0.408,0.379,0.933,0.592,0.854,58,40,555,95
34,15540,train,0.3261,0.869,0.863,0.544,0.718,0.588,0.699,0.508,0.466,0.971,0.799,0.879,1326,334,11027,1521
35,15984,valid,0.5339,0.828,0.681,0.389,0.654,0.46,0.553,0.394,0.359,0.948,0.64,0.852,55,31,564,98
35,15984,train,0.3166,0.874,0.872,0.554,0.722,0.595,0.707,0.514,0.471,0.973,0.809,0.882,1321,312,11091,1484
36,16428,valid,0.5302,0.821,0.679,0.366,0.647,0.446,0.53,0.385,0.353,0.941,0.607,0.85,54,35,560,99
36,16428,train,0.3205,0.873,0.869,0.558,0.722,0.598,0.714,0.514,0.47,0.974,0.82,0.88,1337,293,11071,1507
37,16872,valid,0.5447,0.813,0.678,0.336,0.635,0.421,0.501,0.364,0.333,0.936,0.573,0.845,51,38,557,102
37,16872,train,0.308,0.877,0.881,0.569,0.732,0.613,0.719,0.535,0.493,0.972,0.813,0.886,1389,320,11068,1431
38,17316,valid,0.5519,0.817,0.678,0.352,0.642,0.436,0.517,0.377,0.346,0.938,0.589,0.848,53,37,558,100
38,17316,train,0.3017,0.882,0.886,0.588,0.741,0.63,0.736,0.551,0.508,0.974,0.829,0.889,1434,295,11091,1388
39,17760,valid,0.5548,0.82,0.677,0.36,0.644,0.44,0.525,0.379,0.346,0.941,0.602,0.848,53,35,560,100
39,17760,train,0.2986,0.883,0.883,0.575,0.733,0.614,0.723,0.533,0.491,0.975,0.82,0.891,1325,290,11217,1376
40,18204,valid,0.5701,0.817,0.678,0.363,0.652,0.454,0.523,0.401,0.373,0.931,0.582,0.852,57,41,554,96
40,18204,train,0.2991,0.882,0.886,0.583,0.742,0.629,0.726,0.554,0.514,0.971,0.81,0.892,1424,334,11103,1347
41,18648,valid,0.5592,0.816,0.679,0.346,0.639,0.43,0.511,0.371,0.34,0.938,0.584,0.847,52,37,558,101
