model,n_samples,accuracy,precision,recall,f1_score,auc,true_neg,false_pos,false_neg,true_pos,specificity,length
APNet_20aa,20,0.25,1.0,0.11764705882352941,0.21052631578947367,0.6274509803921569,3,0,15,2,1.0,14
APNet_20aa,24,0.5833333333333334,1.0,0.23076923076923078,0.375,0.7202797202797202,11,0,10,3,1.0,15
APNet_20aa,26,0.38461538461538464,1.0,0.15789473684210525,0.2727272727272727,0.49624060150375937,7,0,16,3,1.0,16
APNet_20aa,13,0.5384615384615384,1.0,0.14285714285714285,0.25,0.5238095238095237,6,0,6,1,1.0,17
APNet_20aa,26,0.34615384615384615,1.0,0.05555555555555555,0.10526315789473684,0.6180555555555556,8,0,17,1,1.0,18
APNet_20aa,11,0.36363636363636365,0.0,0.0,0.0,0.5714285714285714,4,0,7,0,1.0,19
APNet_20aa,18,0.3888888888888889,1.0,0.08333333333333333,0.15384615384615385,0.6111111111111112,6,0,11,1,1.0,20
APNet_20aa,14,0.2857142857142857,1.0,0.16666666666666666,0.2857142857142857,0.5416666666666666,2,0,10,2,1.0,21
APNet_20aa,16,0.25,0.0,0.0,0.0,0.6458333333333334,4,0,12,0,1.0,22
APNet_20aa,5,0.6,1.0,0.3333333333333333,0.5,0.6666666666666666,2,0,2,1,1.0,23
APNet_20aa,6,0.3333333333333333,0.0,0.0,0.0,0.75,2,0,4,0,1.0,24
APNet_20aa,7,0.14285714285714285,0.0,0.0,0.0,1.0,1,0,6,0,1.0,25
APNet_20aa,6,0.3333333333333333,0.0,0.0,0.0,0.5,2,0,4,0,1.0,26
APNet_20aa,1,,,,,,0,0,0,0,,27
APNet_20aa,11,0.09090909090909091,0.0,0.0,0.0,0.8,1,0,10,0,1.0,28
APNet_20aa,7,,,,,,0,0,0,0,,29
APNet_20aa,2,0.5,0.0,0.0,0.0,0.0,1,0,1,0,1.0,30
APNet_20aa,4,,,,,,0,0,0,0,,31
APNet_20aa,2,,,,,,0,0,0,0,,32
APNet_20aa,3,,,,,,0,0,0,0,,33
APNet_20aa,3,,,,,,0,0,0,0,,34
APNet_20aa,4,0.25,0.0,0.0,0.0,1.0,1,0,3,0,1.0,35
APNet_20aa,3,0.6666666666666666,0.0,0.0,0.0,0.0,2,0,1,0,1.0,36
APNet_20aa,1,,,,,,0,0,0,0,,37
APNet_20aa,1,,,,,,0,0,0,0,,39
APNet_20aa,29,,,,,,0,0,0,0,,40
APNet_20aa,10,,,,,,0,0,0,0,,42
APNet_20aa,1,,,,,,0,0,0,0,,43
APNet_20aa,2,,,,,,0,0,0,0,,44
APNet_20aa,1,,,,,,0,0,0,0,,48
APNet_20aa,2,,,,,,0,0,0,0,,51
APNet_20aa,1,,,,,,0,0,0,0,,53
APNet_20aa,1,,,,,,0,0,0,0,,55
APNet_20aa,1,,,,,,0,0,0,0,,56
APNet_20aa,1,,,,,,0,0,0,0,,65
APNet_20aa,1,,,,,,0,0,0,0,,71
APNet_20aa,1,,,,,,0,0,0,0,,79
APNet_20aa,1,,,,,,0,0,0,0,,83
